point_id,Morphology,Size,Class2,Type,Detail,Type2,Sample,No,Group,Year,Month,Day,Event
30,cluster,1.33,2.5,Barite,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
31,irregular,3.85,4,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
32,irregular,3.33,4,Carbonaceous,N-rich,Carbonaceous,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
33,irregular,2.06,2.5,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
34,irregular,1.6,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
35,spherical,0.609,1,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
36,irregular,1.21,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
37,cluster,1.52,2.5,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
38,spherical,0.648,1,Barite,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
39,irregular,1.59,2.5,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
40,irregular,1.29,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
41,irregular,0.908,1,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
42,chainlike,2.19,2.5,Fly ash,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
43,spherical,0.751,1,N-rich,,N-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
44,irregular,1.09,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
45,cluster,1.2,2.5,Flourine compound,,Others,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
46,cluster,1.87,2.5,Carbonaceous,Mineral,Carbonaceous,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
47,irregular,2.07,2.5,Transition metal,,Transition metal,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
48,spherical,1.01,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
49,spherical,1.18,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
50,cluster,2.37,2.5,Fe-rich,,Fe-rich,"13. Beijing (12.26, event)",13,Beijing,2020,12,26,Event
1,spherical,1.44,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
2,irregular,2.88,4,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
3,irregular,1.16,2.5,Transition metal,,Transition metal,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
4,spherical,0.261,1,Fly ash,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
5,irregular,0.967,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
6,spherical,0.6,1,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
7,spherical,0.655,1,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
8,cluster,0.753,1,Fly ash,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
9,cluster,1.31,2.5,Carbonaceous,N-rich,Carbonaceous,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
10,cluster,0.75,1,Fly ash,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
11,irregular,0.983,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
12,irregular,1.25,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
13,spherical,0.864,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
14,cluster,0.97,1,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
15,irregular,0.768,1,Fly ash,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
16,irregular,1.18,2.5,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
17,irregular,0.853,1,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
18,spherical,0.48,1,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
19,irregular,0.829,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
20,irregular,3.7,4,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
21,irregular,3.22,4,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
22,irregular,1.12,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
23,irregular,1.01,2.5,Transition metal,,Transition metal,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
24,irregular,1.09,2.5,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
25,irregular,1.02,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
26,irregular,2.62,4,Rare earth metal,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
27,spherical,2.24,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
28,irregular,1.22,2.5,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
29,cluster,2.43,2.5,Transition metal,,Transition metal,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
30,spherical,0.576,1,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
31,irregular,1.04,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
32,spherical,1.8,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
33,cluster,2.04,2.5,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
34,irregular,2.08,2.5,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
35,irregular,2.87,4,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
36,irregular,1.18,2.5,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
37,irregular,0.627,1,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
38,irregular,1.24,2.5,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
39,irregular,0.419,1,Transition metal,,Transition metal,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
40,irregular,0.666,1,Fly ash,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
41,spherical,0.915,1,Fe-rich,,Fe-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
42,irregular,0.628,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
43,spherical,0.49,1,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
44,irregular,3.29,4,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
45,irregular,0.808,1,Transition metal,,Transition metal,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
46,irregular,4.67,4,Flourine compound,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
47,cluster,7,4,S-rich,,Others,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
48,irregular,0.836,1,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
49,spherical,2.15,2.5,N-rich,,N-rich,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
50,irregular,1.41,2.5,Mineral,,Mineral,"14. Seosan (12.26, event)",14,Seosan,2020,12,26,Event
1,irregular,2.05,2.5,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
2,irregular,1.78,2.5,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
3,irregular,1.52,2.5,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
4,cluster,3.04,4,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
5,irregular,1.5,2.5,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
6,spherical,2,2.5,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
7,spherical,4.15,4,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
8,spherical,0.753,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
9,spherical,0.524,1,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
10,irregular,0.441,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
11,irregular,0.849,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
12,irregular,0.818,1,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
13,spherical,0.413,1,Fly ash,,Others,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
14,irregular,0.755,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
15,irregular,1.13,2.5,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
16,irregular,0.375,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
17,cluster,0.992,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
18,spherical,0.693,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
19,irregular,1.07,2.5,Carbonaceous,Transition metal,Carbonaceous,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
20,irregular,0.674,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
21,spherical,0.313,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
22,irregular,0.915,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
23,spherical,1.11,2.5,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
24,spherical,0.215,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
25,irregular,0.512,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
26,cluster,2.44,2.5,Carbonaceous,N-rich,Carbonaceous,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
27,chainlike,1.53,2.5,S-rich,,Others,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
28,irregular,0.873,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
29,cluster,0.854,1,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
30,irregular,0.631,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
31,irregular,0.712,1,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
32,spherical,0.688,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
33,cluster,1.63,2.5,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
34,irregular,0.681,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
35,cluster,0.665,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
36,irregular,1.05,2.5,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
37,irregular,0.588,1,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
38,spherical,0.392,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
39,spherical,0.825,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
40,irregular,0.523,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
41,irregular,1.84,2.5,Mineral,,Mineral,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
42,irregular,0.86,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
43,cluster,1.56,2.5,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
44,spherical,0.221,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
45,spherical,0.328,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
46,spherical,0.402,1,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
47,irregular,1.38,2.5,N-rich,,N-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
48,irregular,1.03,2.5,Transition metal,,Transition metal,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
49,spherical,0.762,1,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
50,irregular,1.08,2.5,Fe-rich,,Fe-rich,"15. Seoul (12.27, event)",15,Seoul,2020,12,27,Event
1,irregular,0.671,1,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
2,irregular,1.57,2.5,Carbonaceous,Fe-rich,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
3,irregular,1.46,2.5,Carbonaceous,Fe-rich,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
4,irregular,1.41,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
5,irregular,1.62,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
11,irregular,1.28,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
12,irregular,2.27,2.5,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
13,irregular,2.22,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
16,irregular,1.39,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
17,irregular,1.68,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
18,irregular,0.923,1,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
20,irregular,0.927,1,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
21,irregular,1.11,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
22,irregular,1.1,2.5,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
23,irregular,1.92,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
24,irregular,1.17,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
25,irregular,1.55,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
26,irregular,1.23,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
27,irregular,2.41,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
30,irregular,1.53,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
31,irregular,0.774,1,Fly ash,,Others,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
32,irregular,0.909,1,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
33,irregular,2.06,2.5,Fe-rich,,Fe-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
34,irregular,1.6,2.5,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
35,spherical,0.737,1,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
35,spherical,0.609,1,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
36,irregular,2.1,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
36,irregular,1.21,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
37,cluster,1.34,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
37,cluster,1.52,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
38,spherical,0.648,1,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
39,irregular,1.59,2.5,Carbonaceous,N-rich,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
40,irregular,0.865,1,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
40,irregular,1.29,2.5,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
41,irregular,0.908,1,Carbonaceous,Fe-rich,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
42,chainlike,2.19,2.5,Fly ash,,Others,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
43,spherical,0.751,1,Fly ash,,Others,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
44,irregular,0.313,1,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
44,irregular,1.09,2.5,N-rich,,N-rich,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
45,cluster,0.84,1,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
45,cluster,1.2,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
46,cluster,1.16,2.5,Carbonaceous,Mineral,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
46,cluster,1.87,2.5,Carbonaceous,Mineral,Carbonaceous,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
47,irregular,2.07,2.5,Transition metal,,Transition metal,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
48,spherical,1.59,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
48,spherical,1.01,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
49,spherical,1.61,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
49,spherical,1.18,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
50,cluster,1.26,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
50,cluster,2.37,2.5,Mineral,,Mineral,"16. Beijing (12.27, event)",16,Beijing,2020,12,27,Event
1,spherical,0.61,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
2,irregular,1.71,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
3,spherical,1.02,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
4,spherical,0.495,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
5,spherical,0.314,1,Transition metal,,Transition metal,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
6,spherical,0.715,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
7,irregular,1.23,2.5,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
8,irregular,1.41,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
9,irregular,1.79,2.5,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
10,cluster,0.839,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
11,irregular,1.47,2.5,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
12,spherical,0.682,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
13,irregular,1.34,2.5,Transition metal,,Transition metal,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
14,irregular,1.48,2.5,Transition metal,,Transition metal,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
15,irregular,1.22,2.5,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
16,irregular,1.28,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
17,irregular,0.585,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
18,irregular,1.1,2.5,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
19,irregular,1.41,2.5,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
20,spherical,0.55,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
21,spherical,0.814,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
22,spherical,0.454,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
23,spherical,0.456,1,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
24,irregular,1.53,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
25,cluster,1.34,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
26,spherical,1.83,2.5,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
27,irregular,1.51,2.5,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
28,spherical,0.505,1,Transition metal,,Transition metal,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
29,spherical,0.779,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
30,spherical,0.847,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
31,spherical,0.833,1,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
32,irregular,1.02,2.5,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
33,irregular,1.39,2.5,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
34,irregular,1.38,2.5,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
35,cluster,2.69,4,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
36,irregular,0.852,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
37,irregular,0.777,1,Mineral,,Mineral,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
38,cluster,0.588,1,Carbonaceous,Carbonaceous,Carbonaceous,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
39,irregular,0.626,1,Transition metal,,Transition metal,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
40,irregular,0.93,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
41,spherical,0.666,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
42,spherical,2.27,2.5,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
43,irregular,0.729,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
44,irregular,0.827,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
45,chainlike,0.691,1,Carbonaceous,N-rich,Carbonaceous,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
46,cluster,1.25,2.5,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
47,spherical,0.655,1,Fe-rich,,Fe-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
48,irregular,0.948,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
49,cluster,1.09,2.5,Fly ash,,Others,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
50,irregular,0.919,1,N-rich,,N-rich,"17. Seosan (12.27, event)",17,Seosan,2020,12,27,Event
1,irregular,2.09,2.5,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
2,spherical,0.708,1,Fly ash,,Others,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
3,irregular,0.911,1,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
4,irregular,0.718,1,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
5,irregular,1.26,2.5,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
6,irregular,0.584,1,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
7,irregular,1.4,2.5,Mineral,,Mineral,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
8,irregular,1.18,2.5,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
9,irregular,1.95,2.5,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
10,irregular,1.64,2.5,Mineral,,Mineral,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
11,spherical,0.483,1,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
12,irregular,1.14,2.5,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
13,irregular,1.15,2.5,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
14,spherical,0.259,1,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
15,irregular,0.911,1,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
16,irregular,1.13,2.5,Transition metal,,Transition metal,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
17,irregular,1.08,2.5,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
18,irregular,1.48,2.5,Mineral,,Mineral,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
19,spherical,2.06,2.5,Fe-rich,,Fe-rich,"18. Seoul (01.13, event)",18,Seoul,2021,1,13,Event
